Age,Gender,City_Tier,Occupation,Income,Shopping_Frequency,Last_Purchase,Categories,Purchase_Influence,Browsing_Time,Cart_Abandonment,Habit_Type,Pre_Purchase_Action,Decision_Style,Mood,Mood_Impact,Emotional_Frequency,Impulse_Behavior,Stress_Purchases,Happy_Purchases,Shopping_Time,Shopping_Situations,Product_Combinations,Hesitation,Tradeoff,Priority,Value_Perception,Post_Purchase_Feeling,Privacy_Comfort,Data_Concern,AI_Trust,Monthly_Spend,Willingness_To_Spend_More,Interest_in_MoodCart
35-44,Male,Tier 3,Student,>1L,Rarely,>1 Month,Fashion,Recommendations,5-15,Rarely,Rare,Check Reviews,Logical,Bored,Yes,Very Often,Often,Wellness|Electronics|Fashion,Home Decor,Late Night,Weekends|Festivals|Salary,Clothing+Accessories|Books+Coffee,High Price,Price,Brand,Discount,Neutral,Very Comfortable,Privacy,Low,7026,Yes,No
18-24,Male,Tier 3,Working Professional,50k-1L,Weekly,This Week,Electronics|Wellness|Home Decor,Brand,15-30,Never,Rare,Modify Cart,Emotional,Sad,Sometimes,Never,Sometimes,Home Decor|Fashion|Electronics,Fashion,Late Night,Salary,Candles+Oils|Clothing+Accessories,Just Browsing,Price,Delivery,Recommendation,Neutral,Not Comfortable,No Concerns,Medium,5017,No,No
18-24,Female,Tier 2,Other,<20k,Daily,This Week,Electronics|Fashion,Discounts,30+,Rarely,Habitual,Buy Immediately,Mixed,Neutral,No,Sometimes,Often,Electronics,Fashion,Late Night,Festivals|Stress,Snacks+Beverages|Clothing+Accessories|Gadgets+Accessories,Low Trust,Quality,Brand,Emotional Satisfaction,Regretful,Very Comfortable,Irrelevant Recommendations,High,2196,Maybe,No
45+,Female,Tier 3,Business Owner,20k-50k,Weekly,This Month,Snacks|Fashion|Home Decor,Discounts,5-15,Often,Rare,Compare Prices,Logical,Happy,No,Very Often,Never,Fashion|Snacks,Home Decor,Morning,Stress,Books+Coffee|Candles+Oils|Clothing+Accessories,Low Trust,Delivery,Personalization,Emotional Satisfaction,Happy,Somewhat Comfortable,No Concerns,High,4291,Maybe,No
18-24,Male,Tier 3,Working Professional,50k-1L,Rarely,>1 Month,Electronics|Home Decor|Wellness,Price,15-30,Never,Habitual,Buy Immediately,Mixed,Happy,Yes,Never,Rarely,Home Decor|Wellness,Snacks,Afternoon,Sales|Salary|Weekends,Candles+Oils|Gadgets+Accessories,Delivery Issues,Personalization,Price,Discount,Satisfied,Very Comfortable,Misuse,High,13298,Yes,Yes
25-34,Male,Tier 1,Student,>1L,Monthly,This Week,Home Decor,Discounts,30+,Never,Habitual,Modify Cart,Logical,Sad,Yes,Rarely,Sometimes,Wellness,Snacks,Afternoon,Weekends,Candles+Oils,Delivery Issues,Brand,Brand,Quality,Guilty,Very Comfortable,Misuse,Medium,17392,Yes,No
Under 18,Prefer not to say,Tier 1,Homemaker,50k-1L,Daily,Today,Fashion|Electronics,Reviews,15-30,Often,Habitual,Modify Cart,Logical,Sad,No,Rarely,Often,Fashion|Home Decor|Wellness,Home Decor,Late Night,Weekends|Festivals,Gadgets+Accessories,Delivery Issues,Delivery,Price,Emotional Satisfaction,Regretful,Somewhat Comfortable,Irrelevant Recommendations,High,10906,No,No
Under 18,Prefer not to say,Tier 3,Business Owner,50k-1L,Daily,This Month,Electronics|Home Decor|Wellness,Discounts,5-15,Sometimes,Rare,Modify Cart,Emotional,Stressed,Yes,Never,Often,Home Decor|Electronics|Snacks,Electronics,Late Night,Stress|Sales,Books+Coffee|Clothing+Accessories|Snacks+Beverages,High Price,Price,Delivery,Discount,Satisfied,Somewhat Comfortable,No Concerns,High,12679,Yes,Maybe
25-34,Prefer not to say,Tier 1,Other,>1L,Rarely,This Month,Snacks,Discounts,5-15,Rarely,Habitual,Modify Cart,Mixed,Stressed,Yes,Sometimes,Often,Fashion,Wellness,Late Night,Weekends|Salary,Snacks+Beverages|Gadgets+Accessories|Books+Coffee,Too Many Options,Personalization,Price,Recommendation,Regretful,Somewhat Comfortable,Privacy,Medium,23959,Yes,No
35-44,Female,Tier 3,Homemaker,50k-1L,Daily,Today,Home Decor|Electronics,Reviews,<5,Never,Somewhat Planned,Compare Prices,Mixed,Sad,Sometimes,Very Often,Never,Wellness|Fashion|Home Decor,Home Decor,Evening,Festivals,Clothing+Accessories,Low Trust,Quality,Personalization,Discount,Neutral,Very Comfortable,Irrelevant Recommendations,Low,11326,Yes,Maybe
Under 18,Female,Tier 2,Business Owner,>1L,Rarely,Today,Fashion,Price,15-30,Rarely,Habitual,Buy Immediately,Logical,Stressed,Sometimes,Sometimes,Often,Wellness|Fashion|Electronics,Wellness,Morning,Stress,Gadgets+Accessories|Books+Coffee|Candles+Oils,Just Browsing,Personalization,Quality,Discount,Regretful,Somewhat Comfortable,No Concerns,High,16204,Maybe,Maybe
Under 18,Male,Tier 3,Student,<20k,Daily,This Month,Wellness|Fashion|Snacks,Brand,15-30,Never,Habitual,Compare Prices,Logical,Neutral,No,Very Often,Never,Wellness|Snacks,Snacks,Afternoon,Salary|Sales|Weekends,Snacks+Beverages|Gadgets+Accessories|Books+Coffee,Just Browsing,Quality,Delivery,Quality,Happy,Not Comfortable,Misuse,High,1262,Maybe,No
45+,Male,Tier 1,Working Professional,<20k,Monthly,Today,Wellness,Brand,<5,Never,Rare,Compare Prices,Logical,Stressed,Sometimes,Never,Never,Snacks,Home Decor,Morning,Festivals|Stress,Gadgets+Accessories|Books+Coffee|Candles+Oils,Low Trust,Quality,Delivery,Quality,Happy,Somewhat Comfortable,Privacy,Medium,523,Yes,Yes
Under 18,Prefer not to say,Tier 1,Business Owner,50k-1L,Daily,This Month,Fashion,Recommendations,5-15,Sometimes,Mostly Planned,Buy Immediately,Logical,Bored,Sometimes,Sometimes,Rarely,Wellness|Electronics,Home Decor,Late Night,Salary|Festivals,Books+Coffee,Delivery Issues,Quality,Quality,Discount,Neutral,Very Comfortable,Privacy,Low,13784,Yes,Maybe
35-44,Female,Tier 3,Working Professional,50k-1L,Monthly,This Month,Wellness,Price,<5,Often,Rare,Compare Prices,Emotional,Bored,Yes,Rarely,Rarely,Home Decor|Electronics|Fashion,Snacks,Morning,Stress,Gadgets+Accessories|Clothing+Accessories,High Price,Delivery,Brand,Quality,Neutral,Not Comfortable,Irrelevant Recommendations,Low,17365,Maybe,No
18-24,Prefer not to say,Tier 3,Other,20k-50k,Weekly,This Month,Wellness|Fashion,Reviews,5-15,Sometimes,Somewhat Planned,Compare Prices,Logical,Bored,Yes,Sometimes,Sometimes,Fashion,Home Decor,Morning,Sales|Weekends,Gadgets+Accessories|Snacks+Beverages,Low Trust,Brand,Delivery,Emotional Satisfaction,Regretful,Not Comfortable,Irrelevant Recommendations,Low,4358,Yes,Yes
25-34,Male,Tier 3,Other,50k-1L,Rarely,This Month,Snacks|Electronics|Fashion,Brand,<5,Never,Habitual,Check Reviews,Emotional,Sad,Yes,Very Often,Rarely,Fashion|Home Decor,Snacks,Late Night,Sales,Clothing+Accessories,Delivery Issues,Brand,Delivery,Recommendation,Happy,Somewhat Comfortable,Privacy,High,7464,Maybe,Yes
35-44,Male,Tier 1,Student,20k-50k,Rarely,This Month,Home Decor|Snacks|Fashion,Price,15-30,Often,Mostly Planned,Buy Immediately,Mixed,Neutral,Sometimes,Rarely,Often,Snacks|Fashion,Fashion,Evening,Weekends|Stress|Festivals,Snacks+Beverages|Gadgets+Accessories|Books+Coffee,Just Browsing,Brand,Delivery,Emotional Satisfaction,Neutral,Very Comfortable,No Concerns,Medium,3015,Yes,Maybe
35-44,Prefer not to say,Tier 1,Homemaker,50k-1L,Monthly,>1 Month,Electronics|Snacks|Fashion,Recommendations,<5,Never,Habitual,Check Reviews,Mixed,Stressed,No,Very Often,Rarely,Home Decor|Wellness|Electronics,Fashion,Morning,Stress|Weekends,Clothing+Accessories|Gadgets+Accessories,Just Browsing,Delivery,Price,Emotional Satisfaction,Neutral,Not Comfortable,Privacy,High,8282,Yes,Maybe
35-44,Prefer not to say,Tier 1,Business Owner,>1L,Monthly,This Week,Home Decor|Fashion|Wellness,Reviews,5-15,Rarely,Habitual,Compare Prices,Mixed,Sad,Yes,Very Often,Never,Home Decor,Home Decor,Afternoon,Stress,Books+Coffee,Low Trust,Delivery,Price,Quality,Neutral,Very Comfortable,Misuse,Low,26660,Yes,Maybe
25-34,Male,Tier 2,Homemaker,50k-1L,Weekly,This Month,Wellness|Snacks,Brand,<5,Never,Somewhat Planned,Compare Prices,Mixed,Bored,Yes,Never,Sometimes,Home Decor|Fashion,Home Decor,Morning,Stress|Salary,Snacks+Beverages|Candles+Oils|Books+Coffee,High Price,Brand,Price,Quality,Neutral,Somewhat Comfortable,Privacy,Medium,8137,Maybe,Yes
18-24,Female,Tier 1,Student,>1L,Monthly,This Week,Home Decor|Wellness|Snacks,Reviews,<5,Sometimes,Rare,Compare Prices,Mixed,Neutral,Yes,Very Often,Never,Home Decor,Snacks,Afternoon,Sales,Candles+Oils|Gadgets+Accessories|Snacks+Beverages,Low Trust,Price,Personalization,Recommendation,Happy,Not Comfortable,Misuse,Low,26472,No,No
Under 18,Female,Tier 2,Homemaker,20k-50k,Daily,This Month,Electronics|Fashion|Home Decor,Price,<5,Often,Rare,Check Reviews,Emotional,Stressed,No,Sometimes,Rarely,Electronics,Fashion,Morning,Salary|Stress|Sales,Snacks+Beverages,Low Trust,Brand,Delivery,Recommendation,Neutral,Somewhat Comfortable,No Concerns,High,7125,No,Yes
35-44,Male,Tier 2,Homemaker,20k-50k,Weekly,This Week,Snacks|Home Decor|Wellness,Recommendations,15-30,Often,Somewhat Planned,Check Reviews,Emotional,Stressed,Yes,Sometimes,Never,Snacks|Wellness,Electronics,Afternoon,Salary|Stress,Clothing+Accessories,Just Browsing,Delivery,Quality,Emotional Satisfaction,Regretful,Very Comfortable,Irrelevant Recommendations,High,6288,Yes,Maybe
35-44,Female,Tier 1,Working Professional,>1L,Daily,This Week,Wellness|Home Decor|Electronics,Discounts,30+,Often,Rare,Compare Prices,Emotional,Neutral,Yes,Rarely,Often,Snacks,Electronics,Afternoon,Weekends|Stress,Candles+Oils|Gadgets+Accessories|Clothing+Accessories,Delivery Issues,Delivery,Price,Recommendation,Neutral,Somewhat Comfortable,Privacy,Medium,24409,Yes,No
18-24,Male,Tier 2,Other,50k-1L,Daily,This Month,Snacks,Discounts,<5,Sometimes,Mostly Planned,Compare Prices,Emotional,Bored,Yes,Never,Rarely,Home Decor|Fashion|Wellness,Wellness,Morning,Salary|Sales,Gadgets+Accessories|Snacks+Beverages|Candles+Oils,Just Browsing,Personalization,Quality,Emotional Satisfaction,Satisfied,Somewhat Comfortable,Misuse,Low,14325,No,No
Under 18,Prefer not to say,Tier 2,Working Professional,50k-1L,Weekly,Today,Electronics|Home Decor,Recommendations,<5,Rarely,Mostly Planned,Buy Immediately,Mixed,Happy,No,Very Often,Never,Electronics,Snacks,Late Night,Salary|Weekends,Books+Coffee|Gadgets+Accessories|Candles+Oils,Just Browsing,Quality,Brand,Emotional Satisfaction,Regretful,Very Comfortable,Irrelevant Recommendations,Low,12601,No,No
25-34,Male,Tier 2,Business Owner,20k-50k,Rarely,This Week,Home Decor|Wellness|Snacks,Brand,5-15,Often,Mostly Planned,Check Reviews,Emotional,Sad,Yes,Rarely,Often,Fashion|Snacks|Electronics,Electronics,Morning,Weekends|Salary|Stress,Snacks+Beverages|Gadgets+Accessories,Too Many Options,Price,Personalization,Emotional Satisfaction,Regretful,Somewhat Comfortable,Irrelevant Recommendations,High,4410,Maybe,Yes
18-24,Female,Tier 2,Business Owner,50k-1L,Rarely,This Month,Fashion|Electronics|Snacks,Brand,5-15,Never,Mostly Planned,Check Reviews,Emotional,Neutral,Sometimes,Sometimes,Never,Fashion|Electronics,Snacks,Morning,Sales|Weekends|Salary,Books+Coffee|Candles+Oils|Gadgets+Accessories,Just Browsing,Personalization,Price,Quality,Neutral,Somewhat Comfortable,Misuse,Low,9046,No,Maybe
Under 18,Female,Tier 3,Student,20k-50k,Daily,Today,Home Decor,Brand,5-15,Never,Mostly Planned,Compare Prices,Emotional,Sad,Sometimes,Very Often,Never,Electronics|Snacks|Wellness,Electronics,Morning,Weekends,Books+Coffee,High Price,Delivery,Quality,Emotional Satisfaction,Neutral,Not Comfortable,Misuse,Low,1373,Yes,Maybe
Under 18,Prefer not to say,Tier 2,Homemaker,<20k,Rarely,This Week,Fashion,Price,5-15,Never,Rare,Modify Cart,Logical,Neutral,Yes,Very Often,Sometimes,Home Decor|Snacks|Fashion,Fashion,Afternoon,Salary|Sales|Festivals,Gadgets+Accessories|Candles+Oils|Clothing+Accessories,Just Browsing,Quality,Delivery,Recommendation,Guilty,Not Comfortable,Misuse,Medium,277,Maybe,No
35-44,Male,Tier 1,Business Owner,20k-50k,Monthly,This Month,Snacks|Fashion|Home Decor,Discounts,15-30,Sometimes,Somewhat Planned,Compare Prices,Logical,Sad,Yes,Rarely,Sometimes,Fashion,Electronics,Late Night,Festivals|Stress,Candles+Oils|Books+Coffee|Snacks+Beverages,Just Browsing,Personalization,Delivery,Quality,Neutral,Not Comfortable,Irrelevant Recommendations,Medium,1107,Maybe,Maybe
35-44,Female,Tier 1,Student,<20k,Monthly,>1 Month,Fashion|Home Decor|Snacks,Reviews,30+,Sometimes,Rare,Buy Immediately,Logical,Sad,Yes,Sometimes,Often,Electronics,Electronics,Evening,Festivals|Stress|Sales,Snacks+Beverages,Too Many Options,Quality,Brand,Emotional Satisfaction,Happy,Not Comfortable,No Concerns,High,4203,Yes,Yes
25-34,Prefer not to say,Tier 1,Business Owner,50k-1L,Rarely,Today,Fashion,Discounts,30+,Never,Mostly Planned,Check Reviews,Logical,Happy,Yes,Very Often,Often,Electronics,Snacks,Morning,Salary|Stress,Books+Coffee|Candles+Oils|Gadgets+Accessories,Too Many Options,Delivery,Brand,Quality,Regretful,Very Comfortable,Misuse,High,11107,Yes,Yes
18-24,Male,Tier 2,Homemaker,20k-50k,Weekly,>1 Month,Home Decor,Reviews,15-30,Rarely,Somewhat Planned,Check Reviews,Emotional,Sad,Sometimes,Rarely,Sometimes,Electronics|Snacks|Wellness,Home Decor,Morning,Stress|Weekends,Books+Coffee|Snacks+Beverages,High Price,Quality,Brand,Quality,Happy,Somewhat Comfortable,Privacy,Low,14875,No,No
25-34,Female,Tier 3,Other,>1L,Weekly,This Week,Fashion,Brand,<5,Never,Somewhat Planned,Check Reviews,Mixed,Sad,Yes,Very Often,Rarely,Snacks|Electronics|Home Decor,Fashion,Late Night,Stress,Clothing+Accessories,Low Trust,Delivery,Delivery,Recommendation,Regretful,Very Comfortable,Irrelevant Recommendations,Low,15863,No,Yes
35-44,Female,Tier 1,Working Professional,<20k,Daily,Today,Home Decor,Reviews,30+,Often,Habitual,Compare Prices,Mixed,Bored,Yes,Sometimes,Often,Fashion|Electronics|Wellness,Fashion,Evening,Salary|Weekends,Gadgets+Accessories,Low Trust,Personalization,Price,Emotional Satisfaction,Guilty,Somewhat Comfortable,Irrelevant Recommendations,High,1345,Yes,Yes
25-34,Prefer not to say,Tier 3,Business Owner,>1L,Monthly,>1 Month,Wellness|Electronics|Snacks,Price,5-15,Rarely,Mostly Planned,Modify Cart,Mixed,Happy,Sometimes,Never,Sometimes,Electronics|Snacks|Fashion,Snacks,Morning,Festivals|Salary,Books+Coffee|Gadgets+Accessories|Candles+Oils,Low Trust,Delivery,Price,Discount,Neutral,Not Comfortable,Irrelevant Recommendations,Low,29583,Maybe,No
35-44,Male,Tier 1,Student,>1L,Daily,This Month,Fashion,Brand,5-15,Often,Mostly Planned,Check Reviews,Logical,Bored,Sometimes,Very Often,Never,Home Decor,Snacks,Late Night,Sales|Weekends,Snacks+Beverages|Clothing+Accessories,Low Trust,Brand,Price,Quality,Regretful,Somewhat Comfortable,Privacy,Medium,14015,Yes,Yes
45+,Male,Tier 1,Homemaker,50k-1L,Rarely,>1 Month,Snacks|Fashion|Wellness,Reviews,5-15,Often,Somewhat Planned,Check Reviews,Mixed,Stressed,No,Very Often,Rarely,Wellness|Fashion,Fashion,Late Night,Weekends,Books+Coffee|Candles+Oils|Clothing+Accessories,Just Browsing,Personalization,Delivery,Discount,Happy,Somewhat Comfortable,Irrelevant Recommendations,Medium,2991,Yes,Maybe
18-24,Female,Tier 1,Business Owner,<20k,Rarely,This Week,Electronics|Snacks,Recommendations,15-30,Often,Rare,Check Reviews,Logical,Happy,No,Sometimes,Sometimes,Snacks|Electronics|Wellness,Home Decor,Afternoon,Sales|Festivals,Gadgets+Accessories,Delivery Issues,Price,Price,Emotional Satisfaction,Happy,Not Comfortable,Misuse,High,1723,Maybe,No
35-44,Male,Tier 1,Working Professional,50k-1L,Monthly,>1 Month,Home Decor|Electronics|Fashion,Price,<5,Sometimes,Habitual,Modify Cart,Logical,Stressed,Yes,Rarely,Never,Fashion|Snacks,Electronics,Morning,Stress|Weekends,Books+Coffee|Clothing+Accessories|Snacks+Beverages,Too Many Options,Delivery,Brand,Recommendation,Guilty,Not Comfortable,Irrelevant Recommendations,High,14902,Yes,Yes
Under 18,Female,Tier 2,Other,50k-1L,Monthly,This Month,Home Decor,Discounts,30+,Never,Mostly Planned,Buy Immediately,Logical,Bored,Yes,Never,Rarely,Electronics,Home Decor,Afternoon,Sales,Snacks+Beverages|Clothing+Accessories|Candles+Oils,Delivery Issues,Delivery,Delivery,Recommendation,Guilty,Not Comfortable,Misuse,High,12072,No,No
45+,Female,Tier 1,Other,<20k,Daily,This Week,Fashion|Wellness|Home Decor,Recommendations,15-30,Rarely,Rare,Check Reviews,Emotional,Bored,Yes,Very Often,Sometimes,Electronics|Snacks,Home Decor,Evening,Festivals|Stress,Candles+Oils|Gadgets+Accessories,Low Trust,Brand,Personalization,Recommendation,Guilty,Somewhat Comfortable,Irrelevant Recommendations,Low,361,Yes,Maybe
45+,Female,Tier 1,Working Professional,<20k,Monthly,This Week,Home Decor|Snacks,Price,5-15,Never,Mostly Planned,Compare Prices,Logical,Sad,No,Sometimes,Rarely,Electronics|Wellness|Snacks,Fashion,Afternoon,Salary,Snacks+Beverages|Gadgets+Accessories|Candles+Oils,Too Many Options,Quality,Personalization,Emotional Satisfaction,Satisfied,Very Comfortable,Privacy,Medium,200,Maybe,Maybe
Under 18,Male,Tier 3,Other,20k-50k,Rarely,>1 Month,Fashion,Brand,<5,Often,Habitual,Modify Cart,Logical,Neutral,Sometimes,Rarely,Rarely,Wellness|Snacks|Electronics,Snacks,Morning,Weekends|Stress,Gadgets+Accessories|Books+Coffee|Snacks+Beverages,High Price,Price,Personalization,Quality,Regretful,Somewhat Comfortable,Misuse,Medium,7827,No,No
45+,Female,Tier 2,Other,<20k,Rarely,>1 Month,Snacks|Fashion,Reviews,30+,Sometimes,Somewhat Planned,Buy Immediately,Logical,Happy,Yes,Rarely,Sometimes,Wellness|Fashion,Home Decor,Afternoon,Festivals,Candles+Oils|Gadgets+Accessories,High Price,Delivery,Delivery,Recommendation,Neutral,Not Comfortable,Privacy,Low,2338,Yes,No
Under 18,Female,Tier 2,Business Owner,<20k,Daily,Today,Wellness|Electronics,Reviews,5-15,Sometimes,Mostly Planned,Modify Cart,Logical,Happy,Yes,Rarely,Often,Snacks|Electronics,Snacks,Late Night,Festivals|Stress,Snacks+Beverages,Just Browsing,Price,Personalization,Recommendation,Happy,Very Comfortable,No Concerns,Medium,5528,Yes,Yes
25-34,Female,Tier 3,Working Professional,20k-50k,Weekly,This Week,Electronics|Snacks|Wellness,Discounts,15-30,Rarely,Mostly Planned,Compare Prices,Mixed,Stressed,Yes,Sometimes,Never,Fashion|Home Decor,Wellness,Afternoon,Weekends|Salary,Books+Coffee|Candles+Oils,Delivery Issues,Quality,Personalization,Recommendation,Guilty,Very Comfortable,Privacy,Medium,6163,No,Maybe
18-24,Prefer not to say,Tier 2,Homemaker,<20k,Weekly,Today,Home Decor,Brand,15-30,Never,Habitual,Modify Cart,Mixed,Happy,Yes,Never,Never,Snacks|Fashion|Electronics,Home Decor,Morning,Salary|Festivals|Weekends,Books+Coffee|Candles+Oils,High Price,Brand,Personalization,Emotional Satisfaction,Regretful,Very Comfortable,Irrelevant Recommendations,High,2546,No,No
18-24,Female,Tier 2,Other,20k-50k,Daily,This Month,Wellness|Electronics,Price,5-15,Often,Habitual,Modify Cart,Mixed,Sad,Sometimes,Rarely,Rarely,Fashion,Electronics,Evening,Salary|Sales|Weekends,Gadgets+Accessories,Too Many Options,Brand,Personalization,Quality,Regretful,Very Comfortable,Irrelevant Recommendations,Low,8482,Yes,Maybe
18-24,Prefer not to say,Tier 1,Business Owner,50k-1L,Rarely,Today,Snacks,Discounts,5-15,Rarely,Habitual,Buy Immediately,Logical,Sad,Yes,Very Often,Rarely,Wellness|Home Decor|Electronics,Wellness,Late Night,Stress|Salary,Gadgets+Accessories|Snacks+Beverages,High Price,Price,Brand,Quality,Regretful,Very Comfortable,No Concerns,High,7130,No,No
Under 18,Prefer not to say,Tier 1,Working Professional,50k-1L,Daily,This Month,Fashion,Price,30+,Often,Habitual,Compare Prices,Logical,Neutral,Yes,Never,Never,Wellness|Fashion,Home Decor,Late Night,Stress|Sales,Gadgets+Accessories|Clothing+Accessories,High Price,Quality,Delivery,Emotional Satisfaction,Neutral,Somewhat Comfortable,Misuse,High,4751,No,Yes
25-34,Male,Tier 1,Working Professional,20k-50k,Monthly,This Month,Wellness|Electronics,Price,15-30,Rarely,Habitual,Check Reviews,Mixed,Happy,Yes,Rarely,Sometimes,Fashion,Electronics,Late Night,Festivals|Weekends|Salary,Gadgets+Accessories|Candles+Oils|Books+Coffee,High Price,Price,Brand,Quality,Happy,Not Comfortable,Misuse,High,5215,Yes,No
Under 18,Female,Tier 1,Homemaker,>1L,Weekly,Today,Electronics|Home Decor|Snacks,Price,<5,Often,Rare,Check Reviews,Logical,Bored,Yes,Rarely,Sometimes,Electronics|Fashion|Home Decor,Wellness,Morning,Weekends,Candles+Oils|Gadgets+Accessories|Snacks+Beverages,Just Browsing,Brand,Delivery,Discount,Guilty,Somewhat Comfortable,No Concerns,Medium,28072,Yes,Yes
Under 18,Female,Tier 3,Working Professional,20k-50k,Weekly,This Month,Electronics|Snacks|Home Decor,Reviews,<5,Never,Habitual,Compare Prices,Logical,Happy,Sometimes,Never,Rarely,Home Decor|Fashion|Wellness,Fashion,Evening,Salary,Gadgets+Accessories,Delivery Issues,Brand,Quality,Recommendation,Regretful,Very Comfortable,Irrelevant Recommendations,High,5595,Yes,No
25-34,Male,Tier 2,Student,50k-1L,Monthly,Today,Fashion,Reviews,<5,Never,Habitual,Modify Cart,Mixed,Bored,Yes,Sometimes,Often,Fashion|Home Decor,Home Decor,Morning,Stress|Weekends|Salary,Books+Coffee,Too Many Options,Brand,Price,Quality,Happy,Not Comfortable,No Concerns,High,4722,Maybe,Yes
18-24,Female,Tier 2,Student,>1L,Weekly,>1 Month,Home Decor|Snacks,Discounts,<5,Rarely,Habitual,Buy Immediately,Mixed,Stressed,Yes,Sometimes,Never,Wellness,Snacks,Late Night,Weekends|Salary|Stress,Clothing+Accessories|Gadgets+Accessories|Books+Coffee,High Price,Brand,Personalization,Recommendation,Happy,Somewhat Comfortable,Misuse,Medium,17917,Yes,Yes
45+,Female,Tier 2,Working Professional,20k-50k,Rarely,This Week,Snacks|Home Decor,Discounts,<5,Often,Mostly Planned,Buy Immediately,Emotional,Stressed,No,Rarely,Often,Wellness,Electronics,Late Night,Weekends,Books+Coffee|Gadgets+Accessories,Too Many Options,Brand,Quality,Emotional Satisfaction,Guilty,Somewhat Comfortable,No Concerns,Low,6813,Yes,No
35-44,Prefer not to say,Tier 2,Homemaker,>1L,Rarely,This Week,Wellness,Brand,<5,Rarely,Habitual,Modify Cart,Emotional,Neutral,Yes,Sometimes,Never,Fashion|Electronics,Home Decor,Morning,Festivals|Weekends,Books+Coffee|Candles+Oils,Just Browsing,Price,Personalization,Quality,Neutral,Somewhat Comfortable,Privacy,Medium,6867,Yes,Yes
25-34,Prefer not to say,Tier 3,Working Professional,20k-50k,Monthly,>1 Month,Wellness,Price,15-30,Sometimes,Somewhat Planned,Compare Prices,Mixed,Bored,No,Rarely,Rarely,Wellness,Fashion,Late Night,Salary|Sales|Festivals,Snacks+Beverages,Too Many Options,Quality,Brand,Quality,Regretful,Not Comfortable,Privacy,High,5179,No,No
25-34,Prefer not to say,Tier 2,Working Professional,20k-50k,Daily,>1 Month,Home Decor,Price,15-30,Often,Mostly Planned,Check Reviews,Emotional,Sad,Yes,Never,Rarely,Home Decor|Fashion|Wellness,Fashion,Morning,Festivals,Books+Coffee,High Price,Personalization,Personalization,Emotional Satisfaction,Regretful,Not Comfortable,No Concerns,Medium,5969,Maybe,Maybe
Under 18,Prefer not to say,Tier 2,Business Owner,<20k,Daily,This Week,Wellness,Reviews,15-30,Rarely,Somewhat Planned,Buy Immediately,Logical,Bored,No,Very Often,Rarely,Fashion|Snacks|Wellness,Fashion,Evening,Stress|Sales|Salary,Books+Coffee,High Price,Delivery,Personalization,Recommendation,Neutral,Not Comfortable,No Concerns,Medium,3290,Maybe,Yes
45+,Male,Tier 1,Other,20k-50k,Monthly,>1 Month,Fashion|Snacks,Price,5-15,Rarely,Somewhat Planned,Compare Prices,Mixed,Happy,Sometimes,Rarely,Rarely,Home Decor,Fashion,Afternoon,Salary|Stress|Weekends,Snacks+Beverages|Candles+Oils,Low Trust,Quality,Quality,Recommendation,Satisfied,Somewhat Comfortable,Irrelevant Recommendations,Low,3498,No,No
35-44,Male,Tier 2,Student,>1L,Monthly,Today,Snacks|Electronics|Home Decor,Price,5-15,Never,Rare,Buy Immediately,Emotional,Bored,No,Rarely,Often,Home Decor,Wellness,Afternoon,Weekends,Gadgets+Accessories|Candles+Oils|Books+Coffee,Too Many Options,Personalization,Price,Discount,Neutral,Very Comfortable,Irrelevant Recommendations,Medium,6011,Maybe,No
18-24,Male,Tier 3,Student,50k-1L,Weekly,This Week,Wellness|Electronics,Recommendations,5-15,Rarely,Mostly Planned,Compare Prices,Mixed,Sad,Yes,Sometimes,Never,Snacks|Wellness|Electronics,Home Decor,Afternoon,Festivals|Stress,Snacks+Beverages,Too Many Options,Personalization,Personalization,Emotional Satisfaction,Regretful,Not Comfortable,Privacy,Low,15567,Maybe,Yes
18-24,Male,Tier 1,Student,>1L,Rarely,Today,Snacks|Electronics,Reviews,30+,Often,Somewhat Planned,Modify Cart,Emotional,Neutral,No,Very Often,Rarely,Electronics,Electronics,Evening,Weekends,Snacks+Beverages,High Price,Brand,Quality,Discount,Happy,Very Comfortable,Irrelevant Recommendations,Low,10733,No,Maybe
18-24,Prefer not to say,Tier 3,Other,20k-50k,Monthly,>1 Month,Wellness|Electronics,Recommendations,<5,Sometimes,Habitual,Buy Immediately,Emotional,Neutral,No,Sometimes,Never,Snacks|Fashion|Home Decor,Fashion,Late Night,Stress,Snacks+Beverages|Candles+Oils|Books+Coffee,Just Browsing,Brand,Price,Emotional Satisfaction,Satisfied,Very Comfortable,No Concerns,Medium,2993,Yes,Yes
25-34,Male,Tier 1,Business Owner,<20k,Daily,>1 Month,Fashion,Reviews,30+,Rarely,Somewhat Planned,Modify Cart,Mixed,Happy,Yes,Rarely,Rarely,Snacks,Home Decor,Evening,Weekends|Salary,Clothing+Accessories|Gadgets+Accessories,Low Trust,Price,Quality,Emotional Satisfaction,Happy,Somewhat Comfortable,No Concerns,Low,4878,Yes,No
